1596.240000,3.6270E-007,1596.240000,3.6410E-007,1596.240000,1.0150E-006,1596.240000,4.7140E-008,1596.240000,6.9600E-008,1596.240000,1.2430E-006,1596.240000,6.2970E-007,1596.240000,5.3320E-007,1596.240000,7.0820E-007,1596.240000,6.9640E-007
1596.255000,2.5290E-007,1596.255000,-2.3380E-007,1596.255000,1.5120E-007,1596.255000,6.1110E-007,1596.255000,4.5990E-007,1596.255000,4.8100E-007,1596.255000,7.1660E-007,1596.255000,7.0460E-007,1596.255000,5.3410E-007,1596.255000,5.6970E-007
1596.270000,2.3670E-007,1596.270000,7.4020E-007,1596.270000,1.0180E-006,1596.270000,5.1010E-007,1596.270000,4.2810E-007,1596.270000,4.2500E-007,1596.270000,9.0870E-007,1596.270000,5.4130E-007,1596.270000,4.9810E-007,1596.270000,1.2040E-006
1596.285000,2.0180E-008,1596.285000,3.4100E-007,1596.285000,5.7930E-007,1596.285000,4.3100E-007,1596.285000,4.3520E-007,1596.285000,8.1290E-007,1596.285000,5.3860E-007,1596.285000,7.4690E-007,1596.285000,6.8290E-007,1596.285000,9.0450E-007
1596.300000,5.0720E-007,1596.300000,1.7140E-007,1596.300000,5.2660E-007,1596.300000,3.6100E-007,1596.300000,4.3880E-007,1596.300000,6.7020E-007,1596.300000,5.9500E-007,1596.300000,4.9190E-007,1596.300000,7.0910E-007,1596.300000,5.4280E-007
1596.315000,-1.4230E-007,1596.315000,2.3110E-007,1596.315000,6.4550E-007,1596.315000,4.2300E-007,1596.315000,6.7240E-007,1596.315000,9.4830E-007,1596.315000,5.0010E-007,1596.315000,9.3890E-007,1596.315000,3.6700E-007,1596.315000,1.1180E-006
1596.330000,4.9610E-007,1596.330000,-8.1850E-008,1596.330000,5.2300E-007,1596.330000,3.2780E-007,1596.330000,2.2800E-007,1596.330000,5.7100E-007,1596.330000,4.5460E-007,1596.330000,7.3240E-007,1596.330000,5.5810E-007,1596.330000,6.8440E-007
1596.345000,3.0430E-007,1596.345000,2.1150E-007,1596.345000,6.5800E-007,1596.345000,1.6320E-007,1596.345000,4.6770E-007,1596.345000,8.8560E-007,1596.345000,5.0770E-007,1596.345000,1.0070E-006,1596.345000,6.8040E-007,1596.345000,7.4380E-007
1596.360000,-7.3030E-008,1596.360000,-2.0770E-007,1596.360000,4.1850E-007,1596.360000,8.9180E-007,1596.360000,6.0290E-007,1596.360000,3.1550E-007,1596.360000,3.7290E-007,1596.360000,3.2490E-007,1596.360000,7.0560E-007,1596.360000,8.7780E-007
1596.375000,3.4910E-007,1596.375000,7.3250E-007,1596.375000,5.3590E-007,1596.375000,7.6810E-007,1596.375000,-3.3110E-008,1596.375000,7.4280E-007,1596.375000,7.9880E-007,1596.375000,5.8420E-007,1596.375000,5.0040E-007,1596.375000,6.4580E-007
1596.390000,3.3620E-007,1596.390000,-2.5060E-007,1596.390000,8.4710E-007,1596.390000,1.4540E-007,1596.390000,6.8050E-007,1596.390000,6.7400E-007,1596.390000,7.7550E-007,1596.390000,8.7290E-007,1596.390000,3.0840E-007,1596.390000,1.0750E-006
1596.405000,-1.8600E-008,1596.405000,2.7130E-007,1596.405000,4.9120E-007,1596.405000,6.2380E-007,1596.405000,2.2680E-007,1596.405000,5.9310E-007,1596.405000,2.7310E-007,1596.405000,6.6760E-007,1596.405000,4.3390E-007,1596.405000,3.1420E-007
1596.420000,4.5790E-007,1596.420000,1.5850E-007,1596.420000,8.7550E-007,1596.420000,-2.4480E-007,1596.420000,2.1630E-007,1596.420000,4.5590E-007,1596.420000,7.5660E-007,1596.420000,1.1240E-006,1596.420000,5.6310E-007,1596.420000,7.4390E-007
1596.435000,2.3260E-007,1596.435000,-1.0070E-007,1596.435000,6.6290E-007,1596.435000,7.7460E-007,1596.435000,6.7180E-007,1596.435000,8.1370E-007,1596.435000,8.7090E-008,1596.435000,6.7450E-007,1596.435000,7.1540E-007,1596.435000,3.6980E-007
1596.450000,3.8180E-007,1596.450000,-4.5120E-008,1596.450000,7.1790E-007,1596.450000,3.8090E-007,1596.450000,3.2020E-007,1596.450000,1.0700E-006,1596.450000,8.1900E-007,1596.450000,6.9700E-007,1596.450000,7.1300E-007,1596.450000,6.3710E-007
1596.465000,-1.7010E-007,1596.465000,2.1750E-007,1596.465000,9.5270E-009,1596.465000,5.9260E-007,1596.465000,8.1590E-007,1596.465000,7.9950E-007,1596.465000,6.0290E-007,1596.465000,6.6050E-007,1596.465000,3.9450E-007,1596.465000,8.2330E-007
1596.480000,6.2960E-007,1596.480000,4.3050E-007,1596.480000,7.8790E-007,1596.480000,3.3820E-007,1596.480000,2.6080E-007,1596.480000,5.8060E-007,1596.480000,5.3640E-007,1596.480000,6.7870E-007,1596.480000,3.9140E-007,1596.480000,8.4550E-007
1596.495000,-5.1480E-008,1596.495000,-1.0380E-007,1596.495000,4.0830E-009,1596.495000,3.2350E-007,1596.495000,4.2100E-007,1596.495000,9.6610E-007,1596.495000,8.3840E-007,1596.495000,1.0290E-006,1596.495000,5.8580E-007,1596.495000,3.9230E-007
1596.510000,4.5160E-007,1596.510000,2.4130E-007,1596.510000,8.8310E-007,1596.510000,8.7780E-007,1596.510000,6.0240E-007,1596.510000,8.1350E-007,1596.510000,1.4310E-007,1596.510000,4.1030E-007,1596.510000,7.2630E-007,1596.510000,1.3790E-006
1596.525000,4.5850E-007,1596.525000,7.6660E-008,1596.525000,5.7930E-007,1596.525000,-1.8140E-008,1596.525000,5.0660E-007,1596.525000,8.1790E-007,1596.525000,9.4270E-007,1596.525000,9.1710E-007,1596.525000,4.8520E-008,1596.525000,-3.8310E-008
1596.540000,2.8880E-007,1596.540000,1.3900E-007,1596.540000,8.9000E-007,1596.540000,5.9950E-007,1596.540000,4.6410E-007,1596.540000,7.9750E-007,1596.540000,5.3170E-007,1596.540000,8.4680E-007,1596.540000,7.3970E-007,1596.540000,9.5670E-007
1596.555000,4.4120E-007,1596.555000,4.5630E-007,1596.555000,1.1900E-007,1596.555000,1.9500E-008,1596.555000,4.3990E-007,1596.555000,8.9110E-007,1596.555000,8.2260E-007,1596.555000,4.4630E-007,1596.555000,4.4850E-007,1596.555000,8.7040E-007
1596.570000,-8.9600E-008,1596.570000,3.5600E-008,1596.570000,8.9400E-007,1596.570000,6.6540E-007,1596.570000,3.7160E-007,1596.570000,5.3190E-007,1596.570000,-5.0120E-008,1596.570000,5.6750E-007,1596.570000,4.2140E-007,1596.570000,4.7280E-007
1596.585000,-1.4670E-007,1596.585000,2.8150E-007,1596.585000,6.4200E-007,1596.585000,7.9390E-007,1596.585000,8.0370E-007,1596.585000,6.0910E-007,1596.585000,1.0850E-006,1596.585000,1.1210E-006,1596.585000,6.4580E-007,1596.585000,5.4080E-007
1596.600000,1.3670E-007,1596.600000,-4.3540E-008,1596.600000,4.2700E-007,1596.600000,5.8660E-007,1596.600000,2.3350E-007,1596.600000,1.0130E-006,1596.600000,1.3130E-007,1596.600000,1.6710E-007,1596.600000,7.4390E-007,1596.600000,7.4940E-007
1596.615000,3.6620E-007,1596.615000,1.3380E-007,1596.615000,4.9280E-007,1596.615000,5.5460E-007,1596.615000,1.7170E-007,1596.615000,8.0860E-007,1596.615000,9.7650E-007,1596.615000,6.1310E-007,1596.615000,2.4480E-007,1596.615000,7.5390E-007
1596.630000,2.9950E-007,1596.630000,8.5060E-008,1596.630000,6.4050E-007,1596.630000,3.4360E-007,1596.630000,5.3950E-007,1596.630000,3.6870E-007,1596.630000,3.3930E-007,1596.630000,9.3910E-007,1596.630000,9.8790E-007,1596.630000,6.8450E-007
1596.645000,2.9020E-007,1596.645000,3.9440E-007,1596.645000,5.0040E-007,1596.645000,3.4320E-007,1596.645000,5.0370E-007,1596.645000,8.1240E-007,1596.645000,4.7250E-007,1596.645000,6.9670E-007,1596.645000,1.1780E-007,1596.645000,4.6100E-007
1596.660000,1.2160E-007,1596.660000,1.3410E-007,1596.660000,9.3930E-007,1596.660000,3.7500E-007,1596.660000,3.7210E-008,1596.660000,1.0750E-006,1596.660000,5.5560E-007,1596.660000,9.0620E-007,1596.660000,4.5340E-007,1596.660000,6.2920E-007
1596.675000,5.3570E-008,1596.675000,1.3910E-007,1596.675000,5.5420E-007,1596.675000,4.8880E-007,1596.675000,5.9960E-007,1596.675000,6.0830E-007,1596.675000,6.5550E-007,1596.675000,7.1160E-007,1596.675000,2.7780E-007,1596.675000,5.2800E-007
1596.690000,4.4740E-007,1596.690000,-2.4860E-007,1596.690000,9.8270E-007,1596.690000,4.3510E-007,1596.690000,7.3830E-007,1596.690000,7.1320E-007,1596.690000,5.9760E-007,1596.690000,7.3270E-007,1596.690000,8.4540E-007,1596.690000,1.1960E-006
1596.705000,-1.6120E-008,1596.705000,2.5860E-008,1596.705000,4.7410E-007,1596.705000,5.3020E-007,1596.705000,1.7790E-007,1596.705000,6.4500E-007,1596.705000,5.5760E-007,1596.705000,5.7830E-007,1596.705000,6.0390E-007,1596.705000,1.0090E-006
1596.720000,1.6410E-007,1596.720000,1.8000E-007,1596.720000,7.1580E-007,1596.720000,4.5670E-007,1596.720000,3.5300E-007,1596.720000,4.9430E-007,1596.720000,4.8680E-007,1596.720000,3.9370E-007,1596.720000,5.7940E-007,1596.720000,6.3480E-007
1596.735000,-2.2200E-007,1596.735000,3.2230E-008,1596.735000,6.2170E-007,1596.735000,6.3900E-007,1596.735000,4.2560E-007,1596.735000,4.5540E-007,1596.735000,8.5990E-007,1596.735000,8.8030E-007,1596.735000,4.1930E-007,1596.735000,1.0290E-006
1596.750000,6.6110E-007,1596.750000,3.5230E-007,1596.750000,2.5990E-007,1596.750000,-9.1480E-008,1596.750000,2.1880E-007,1596.750000,9.2080E-007,1596.750000,3.4560E-007,1596.750000,3.2140E-007,1596.750000,4.8540E-007,1596.750000,6.8560E-007
1596.765000,4.7680E-008,1596.765000,8.2620E-008,1596.765000,8.7940E-007,1596.765000,4.9350E-007,1596.765000,3.5540E-007,1596.765000,2.1650E-007,1596.765000,7.1690E-007,1596.765000,8.9280E-007,1596.765000,7.2180E-007,1596.765000,7.9690E-007
1596.780000,2.6680E-007,1596.780000,2.9800E-007,1596.780000,5.9900E-007,1596.780000,3.8440E-007,1596.780000,5.8090E-007,1596.780000,9.2440E-007,1596.780000,4.7850E-007,1596.780000,3.2830E-007,1596.780000,1.0230E-006,1596.780000,5.5200E-007
1596.795000,1.6750E-007,1596.795000,2.3570E-007,1596.795000,8.5500E-007,1596.795000,3.8770E-007,1596.795000,6.1790E-007,1596.795000,2.1090E-007,1596.795000,5.0930E-007,1596.795000,5.1880E-007,1596.795000,8.7860E-008,1596.795000,4.1640E-007
1596.810000,1.8860E-007,1596.810000,3.3140E-008,1596.810000,2.0840E-007,1596.810000,3.9310E-007,1596.810000,7.2500E-007,1596.810000,6.2430E-007,1596.810000,8.0710E-007,1596.810000,6.4390E-007,1596.810000,7.8820E-007,1596.810000,6.4550E-007
1596.825000,-2.4970E-009,1596.825000,2.0160E-007,1596.825000,7.5550E-007,1596.825000,2.5590E-007,1596.825000,2.2520E-007,1596.825000,6.9690E-007,1596.825000,2.5790E-007,1596.825000,8.5560E-007,1596.825000,3.8390E-007,1596.825000,4.5120E-007
1596.840000,-4.6760E-008,1596.840000,3.4810E-007,1596.840000,7.5430E-007,1596.840000,3.5700E-007,1596.840000,5.6600E-007,1596.840000,8.2910E-007,1596.840000,7.5750E-007,1596.840000,7.0310E-007,1596.840000,6.4480E-007,1596.840000,1.2890E-006
1596.855000,-2.4790E-007,1596.855000,9.9900E-009,1596.855000,5.5730E-007,1596.855000,7.0340E-007,1596.855000,6.4190E-007,1596.855000,7.1430E-007,1596.855000,7.0800E-007,1596.855000,8.3960E-007,1596.855000,3.8910E-007,1596.855000,6.5390E-007
1596.870000,3.7170E-007,1596.870000,1.9070E-007,1596.870000,6.7020E-007,1596.870000,2.0380E-007,1596.870000,4.1130E-007,1596.870000,1.5800E-007,1596.870000,3.9110E-007,1596.870000,4.3960E-007,1596.870000,4.6230E-007,1596.870000,7.7820E-007
1596.885000,9.8760E-008,1596.885000,-7.8080E-008,1596.885000,6.8420E-007,1596.885000,5.5760E-007,1596.885000,1.9520E-008,1596.885000,1.0790E-006,1596.885000,5.7200E-007,1596.885000,7.4660E-007,1596.885000,4.5030E-007,1596.885000,8.0060E-007
1596.900000,4.2110E-007,1596.900000,6.1300E-008,1596.900000,6.0740E-007,1596.900000,4.9390E-007,1596.900000,8.4070E-007,1596.900000,7.0560E-007,1596.900000,1.0170E-007,1596.900000,6.6550E-007,1596.900000,5.6960E-007,1596.900000,7.3920E-007
1596.915000,4.4940E-007,1596.915000,3.9220E-007,1596.915000,4.9610E-007,1596.915000,2.6420E-007,1596.915000,4.4030E-008,1596.915000,8.4810E-007,1596.915000,6.5750E-007,1596.915000,4.6450E-007,1596.915000,5.4290E-007,1596.915000,6.4840E-007
1596.930000,3.5310E-007,1596.930000,7.0670E-008,1596.930000,4.3950E-007,1596.930000,5.1420E-007,1596.930000,6.7660E-007,1596.930000,5.3070E-007,1596.930000,4.9750E-007,1596.930000,9.0160E-007,1596.930000,4.4400E-007,1596.930000,5.1060E-007
1596.945000,-1.2080E-007,1596.945000,5.6940E-007,1596.945000,7.2520E-007,1596.945000,1.5930E-007,1596.945000,-1.5400E-007,1596.945000,7.7220E-007,1596.945000,6.3920E-007,1596.945000,6.9580E-007,1596.945000,4.9350E-007,1596.945000,9.1830E-007
1596.960000,3.9210E-007,1596.960000,-1.2180E-007,1596.960000,8.5680E-007,1596.960000,5.9790E-007,1596.960000,6.8880E-007,1596.960000,7.3940E-007,1596.960000,5.4890E-007,1596.960000,9.0790E-007,1596.960000,1.5400E-007,1596.960000,7.4740E-007
1596.975000,5.3070E-007,1596.975000,1.4540E-007,1596.975000,4.2530E-007,1596.975000,2.4750E-007,1596.975000,3.5780E-007,1596.975000,6.8880E-007,1596.975000,6.3830E-007,1596.975000,4.2080E-007,1596.975000,1.1300E-006,1596.975000,5.7700E-007
1596.990000,-3.9300E-008,1596.990000,-5.8390E-008,1596.990000,7.0400E-007,1596.990000,4.3220E-007,1596.990000,3.7050E-007,1596.990000,5.7700E-007,1596.990000,6.9350E-007,1596.990000,4.6230E-007,1596.990000,1.8450E-007,1596.990000,6.2270E-007
1597.005000,2.4480E-007,1597.005000,5.9860E-007,1597.005000,4.3860E-007,1597.005000,-4.7720E-009,1597.005000,6.3050E-007,1597.005000,8.5330E-007,1597.005000,9.3170E-009,1597.005000,8.9230E-007,1597.005000,3.2990E-007,1597.005000,6.6260E-007
1597.020000,4.8860E-008,1597.020000,-3.3280E-007,1597.020000,7.4880E-007,1597.020000,5.6100E-007,1597.020000,5.1600E-007,1597.020000,4.1480E-007,1597.020000,1.0330E-006,1597.020000,7.3230E-007,1597.020000,6.4360E-007,1597.020000,2.9850E-007
1597.035000,1.4200E-007,1597.035000,-2.7710E-008,1597.035000,2.2770E-007,1597.035000,3.0790E-007,1597.035000,6.4320E-007,1597.035000,5.4070E-007,1597.035000,5.9150E-007,1597.035000,9.0760E-007,1597.035000,5.4630E-007,1597.035000,8.8800E-007
1597.050000,8.2250E-008,1597.050000,6.2510E-007,1597.050000,8.3590E-007,1597.050000,7.7640E-007,1597.050000,3.1280E-007,1597.050000,8.0020E-007,1597.050000,4.6470E-007,1597.050000,3.6180E-007,1597.050000,6.4340E-007,1597.050000,4.4800E-007
1597.065000,3.4310E-008,1597.065000,-9.9070E-008,1597.065000,5.2380E-007,1597.065000,5.0770E-007,1597.065000,2.8740E-007,1597.065000,4.1990E-007,1597.065000,5.2040E-007,1597.065000,1.0950E-006,1597.065000,2.9340E-007,1597.065000,7.4280E-007
1597.080000,7.0760E-007,1597.080000,1.8950E-007,1597.080000,8.1990E-007,1597.080000,4.6760E-007,1597.080000,2.8250E-007,1597.080000,4.9120E-007,1597.080000,8.5480E-007,1597.080000,4.4640E-007,1597.080000,6.1240E-007,1597.080000,7.9690E-007
1597.095000,-2.2740E-007,1597.095000,-7.4300E-008,1597.095000,7.1540E-007,1597.095000,3.6110E-008,1597.095000,8.0960E-007,1597.095000,7.0710E-007,1597.095000,5.3400E-008,1597.095000,7.2490E-007,1597.095000,4.5740E-007,1597.095000,3.0140E-007
1597.110000,4.7720E-007,1597.110000,5.0210E-007,1597.110000,2.2850E-007,1597.110000,3.8290E-007,1597.110000,1.2810E-007,1597.110000,4.4060E-007,1597.110000,3.6200E-007,1597.110000,7.6010E-007,1597.110000,8.9050E-007,1597.110000,8.3410E-007
1597.125000,2.3460E-007,1597.125000,2.6290E-007,1597.125000,9.3300E-007,1597.125000,7.0400E-007,1597.125000,8.7380E-007,1597.125000,4.0100E-007,1597.125000,5.9950E-007,1597.125000,4.1570E-008,1597.125000,4.7500E-007,1597.125000,4.6780E-007
1597.140000,2.4060E-007,1597.140000,-4.3640E-007,1597.140000,5.8750E-007,1597.140000,9.6800E-008,1597.140000,5.6010E-007,1597.140000,7.1760E-007,1597.140000,8.0340E-007,1597.140000,9.7800E-007,1597.140000,7.0890E-007,1597.140000,5.4940E-007
1597.155000,7.1800E-008,1597.155000,3.2810E-007,1597.155000,5.9640E-007,1597.155000,7.5060E-007,1597.155000,5.4670E-007,1597.155000,5.9710E-007,1597.155000,7.1020E-007,1597.155000,7.7890E-007,1597.155000,5.6010E-007,1597.155000,1.3280E-006
1597.170000,2.9160E-007,1597.170000,-1.3880E-007,1597.170000,6.7150E-007,1597.170000,1.2040E-007,1597.170000,5.4250E-007,1597.170000,9.7650E-007,1597.170000,8.6980E-007,1597.170000,8.8450E-007,1597.170000,6.8060E-007,1597.170000,3.0430E-007
1597.185000,2.4570E-007,1597.185000,2.9400E-007,1597.185000,5.7970E-007,1597.185000,5.5980E-007,1597.185000,5.2200E-007,1597.185000,5.5810E-007,1597.185000,5.2980E-007,1597.185000,8.4790E-007,1597.185000,6.2560E-007,1597.185000,6.8570E-007
1597.200000,1.9240E-007,1597.200000,2.7270E-008,1597.200000,4.2060E-007,1597.200000,4.8010E-007,1597.200000,2.1810E-007,1597.200000,6.8060E-007,1597.200000,3.5600E-007,1597.200000,3.1990E-007,1597.200000,7.3430E-007,1597.200000,6.1710E-007
1597.215000,5.0170E-007,1597.215000,-8.2740E-008,1597.215000,6.0980E-007,1597.215000,5.6370E-007,1597.215000,7.7160E-007,1597.215000,6.6820E-007,1597.215000,8.8290E-007,1597.215000,7.5980E-007,1597.215000,3.5700E-007,1597.215000,6.9000E-007
1597.230000,2.2140E-007,1597.230000,3.2960E-008,1597.230000,3.2960E-007,1597.230000,5.2350E-007,1597.230000,-3.9310E-008,1597.230000,1.1750E-007,1597.230000,8.2780E-007,1597.230000,9.7850E-007,1597.230000,7.8630E-007,1597.230000,8.2360E-007
1597.245000,6.4100E-008,1597.245000,-9.1160E-008,1597.245000,4.9590E-007,1597.245000,5.1860E-007,1597.245000,9.7290E-007,1597.245000,1.2600E-006,1597.245000,3.0150E-007,1597.245000,5.4200E-007,1597.245000,3.9340E-007,1597.245000,5.3200E-007
1597.260000,3.7550E-007,1597.260000,2.6270E-007,1597.260000,3.5460E-007,1597.260000,3.9310E-008,1597.260000,1.9550E-007,1597.260000,4.8880E-008,1597.260000,7.5180E-007,1597.260000,8.2670E-007,1597.260000,7.2240E-007,1597.260000,8.3580E-007
1597.275000,3.3680E-007,1597.275000,-2.1250E-007,1597.275000,9.4080E-007,1597.275000,1.1020E-006,1597.275000,6.8850E-007,1597.275000,1.1970E-006,1597.275000,4.9060E-007,1597.275000,5.5430E-007,1597.275000,5.2980E-007,1597.275000,3.8870E-007
1597.290000,3.4970E-007,1597.290000,2.8620E-007,1597.290000,5.6100E-007,1597.290000,3.8400E-008,1597.290000,2.2330E-007,1597.290000,2.8530E-007,1597.290000,6.2650E-007,1597.290000,4.9950E-007,1597.290000,2.4180E-007,1597.290000,5.3470E-007
1597.305000,-1.0660E-007,1597.305000,7.7970E-008,1597.305000,1.0810E-006,1597.305000,7.9240E-007,1597.305000,7.3930E-007,1597.305000,1.2050E-006,1597.305000,4.0720E-007,1597.305000,6.3680E-007,1597.305000,3.6820E-007,1597.305000,3.4810E-007
1597.320000,4.8190E-008,1597.320000,-2.1160E-007,1597.320000,3.5820E-007,1597.320000,-1.7020E-007,1597.320000,3.5840E-007,1597.320000,3.5820E-007,1597.320000,6.5100E-007,1597.320000,9.0780E-007,1597.320000,6.2560E-007,1597.320000,4.3590E-007
1597.335000,1.7140E-007,1597.335000,2.0120E-007,1597.335000,9.2070E-007,1597.335000,8.9240E-007,1597.335000,2.0590E-007,1597.335000,7.0790E-007,1597.335000,7.3750E-007,1597.335000,1.0490E-006,1597.335000,9.5550E-007,1597.335000,1.2930E-006
1597.350000,7.8430E-008,1597.350000,2.4140E-007,1597.350000,4.6470E-007,1597.350000,5.5070E-007,1597.350000,7.7160E-007,1597.350000,7.8390E-007,1597.350000,5.1530E-007,1597.350000,6.6150E-007,1597.350000,3.3760E-007,1597.350000,3.7150E-007
1597.365000,2.5580E-007,1597.365000,-1.6360E-007,1597.365000,8.3050E-007,1597.365000,2.9190E-007,1597.365000,9.2720E-007,1597.365000,1.9340E-007,1597.365000,8.6080E-007,1597.365000,5.9620E-007,1597.365000,8.1980E-007,1597.365000,1.1260E-006
1597.380000,1.0160E-007,1597.380000,1.5180E-007,1597.380000,2.8500E-007,1597.380000,5.0280E-007,1597.380000,-1.5500E-007,1597.380000,4.5400E-007,1597.380000,2.4180E-007,1597.380000,7.6560E-007,1597.380000,2.2090E-007,1597.380000,2.8170E-007
1597.395000,3.5150E-007,1597.395000,-8.6390E-009,1597.395000,4.9190E-007,1597.395000,2.0230E-007,1597.395000,5.3910E-007,1597.395000,6.0690E-007,1597.395000,6.8310E-007,1597.395000,7.4310E-007,1597.395000,8.9000E-007,1597.395000,8.6610E-007
1597.410000,7.1840E-008,1597.410000,5.8280E-007,1597.410000,1.0040E-006,1597.410000,4.3930E-007,1597.410000,4.5600E-007,1597.410000,5.5360E-007,1597.410000,5.6830E-007,1597.410000,8.0440E-007,1597.410000,5.0590E-007,1597.410000,7.9640E-007
1597.425000,2.6250E-007,1597.425000,8.9560E-008,1597.425000,3.5080E-007,1597.425000,6.2960E-008,1597.425000,5.3760E-007,1597.425000,4.9280E-007,1597.425000,5.1800E-007,1597.425000,8.1400E-007,1597.425000,4.6510E-007,1597.425000,8.1690E-007
1597.440000,-3.3210E-007,1597.440000,-3.1830E-008,1597.440000,1.0880E-006,1597.440000,7.0500E-007,1597.440000,3.2540E-007,1597.440000,9.5130E-007,1597.440000,6.9990E-007,1597.440000,8.1350E-007,1597.440000,7.8830E-007,1597.440000,2.2210E-007
1597.455000,4.2880E-007,1597.455000,1.6710E-007,1597.455000,6.5640E-007,1597.455000,5.1510E-007,1597.455000,4.2440E-007,1597.455000,4.0700E-007,1597.455000,7.5870E-007,1597.455000,4.8120E-007,1597.455000,6.7510E-007,1597.455000,8.0370E-007
1597.470000,-6.0910E-008,1597.470000,2.8240E-007,1597.470000,5.2290E-007,1597.470000,4.1680E-007,1597.470000,6.1160E-007,1597.470000,6.5880E-007,1597.470000,4.2170E-007,1597.470000,1.1890E-006,1597.470000,3.3810E-007,1597.470000,1.0070E-006
1597.485000,6.5520E-008,1597.485000,-9.7850E-009,1597.485000,5.2000E-007,1597.485000,7.2730E-007,1597.485000,3.3530E-007,1597.485000,2.8190E-007,1597.485000,8.3370E-007,1597.485000,2.1860E-007,1597.485000,5.6420E-007,1597.485000,6.9580E-007
1597.500000,-7.4620E-008,1597.500000,3.9770E-007,1597.500000,5.4920E-007,1597.500000,3.3480E-007,1597.500000,3.8300E-007,1597.500000,5.1510E-007,1597.500000,4.9810E-007,1597.500000,1.2600E-006,1597.500000,5.8470E-007,1597.500000,5.1510E-007
1597.515000,3.2210E-007,1597.515000,-6.3240E-008,1597.515000,6.7220E-007,1597.515000,9.6710E-008,1597.515000,4.4320E-007,1597.515000,8.9150E-007,1597.515000,1.0040E-006,1597.515000,5.2910E-007,1597.515000,3.5740E-007,1597.515000,8.4040E-007
1597.530000,9.3520E-008,1597.530000,5.8580E-007,1597.530000,2.5920E-008,1597.530000,5.2650E-007,1597.530000,6.4310E-007,1597.530000,7.7500E-007,1597.530000,2.4000E-007,1597.530000,7.0120E-007,1597.530000,8.5980E-007,1597.530000,6.6930E-007
1597.545000,2.1270E-007,1597.545000,-1.3010E-007,1597.545000,9.5240E-007,1597.545000,4.5440E-007,1597.545000,8.6690E-008,1597.545000,2.6450E-007,1597.545000,8.5690E-007,1597.545000,5.6840E-007,1597.545000,4.5220E-007,1597.545000,5.3200E-007
